# Score: min -1029, max 7804, med 2183
# Num steps: min 259, max 1000, med 1000
seed,score,num_steps
7474,4811,1000
7475,3059,988
7476,1526,1000
7477,1964,712
7478,2621,1000
7479,3497,1000
7480,1891,1000
7481,358,1000
7482,4738,1000
7483,4592,1000
7484,2402,1000
7485,3059,1000
7486,2402,1000
7487,1380,1000
7488,5687,1000
7489,5249,1000
7490,212,1000
7491,2256,1000
7492,869,1000
7493,1380,1000
7494,4300,1000
7495,1088,1000
7496,2694,1000
7497,4738,1000
7498,2767,1000
7499,4373,1000
7500,3789,1000
7501,2329,536
7502,504,832
7503,1672,1000
7504,1015,781
7505,2402,1000
7506,2329,1000
7507,3205,1000
7508,504,1000
7509,3570,1000
7510,1745,1000
7511,1599,1000
7512,1380,1000
7513,2986,1000
7514,-737,380
7515,1964,1000
7516,2548,1000
7517,2840,1000
7518,1453,1000
7519,3789,1000
7520,1234,1000
7521,3570,1000
7522,431,1000
7523,4300,1000
7524,1672,820
7525,3935,1000
7526,2986,1000
7527,942,857
7528,1088,1000
7529,2110,1000
7530,-956,1000
7531,-7,1000
7532,-445,844
7533,1453,1000
7534,3862,1000
7535,5906,1000
7536,5030,1000
7537,-737,614
7538,3059,1000
7539,6344,1000
7540,2548,1000
7541,1818,948
7542,4811,1000
7543,4227,1000
7544,2037,1000
7545,2402,1000
7546,4227,1000
7547,3497,1000
7548,1964,1000
7549,1964,1000
7550,1964,1000
7551,1964,931
7552,5541,1000
7553,1745,1000
7554,2329,1000
7555,942,1000
7556,1453,1000
7557,-372,1000
7558,3862,1000
7559,212,1000
7560,4811,1000
7561,5176,1000
7562,723,1000
7563,3862,1000
7564,3278,1000
7565,2475,1000
7566,1234,1000
7567,3424,1000
7568,1526,826
7569,1599,1000
7570,1015,1000
7571,723,1000
7572,5176,1000
7573,1453,1000
7574,5541,1000
7575,139,336
7576,6052,1000
7577,4592,1000
7578,2402,1000
7579,5103,1000
7580,6490,1000
7581,2110,1000
7582,139,1000
7583,1307,1000
7584,3059,1000
7585,4008,1000
7586,1088,745
7587,5614,1000
7588,3059,1000
7589,1672,1000
7590,4884,1000
7591,3278,1000
7592,3278,1000
7593,4373,1000
7594,2621,1000
7595,869,1000
7596,4519,1000
7597,1891,1000
7598,3570,1000
7599,1745,1000
7600,66,682
7601,2183,1000
7602,6417,1000
7603,3424,1000
7604,2110,1000
7605,1891,1000
7606,2694,1000
7607,4884,1000
7608,2475,1000
7609,3205,1000
7610,4592,1000
7611,2256,1000
7612,3132,1000
7613,1891,1000
7614,796,1000
7615,2986,1000
7616,4227,1000
7617,6271,1000
7618,4519,1000
7619,-518,501
7620,-299,764
7621,2475,1000
7622,2986,1000
7623,2110,1000
7624,3424,1000
7625,1818,1000
7626,1818,1000
7627,3935,1000
7628,2913,1000
7629,3570,1000
7630,1453,1000
7631,3059,1000
7632,1307,1000
7633,504,530
7634,577,469
7635,2256,1000
7636,2767,1000
7637,650,1000
7638,1307,1000
7639,1234,981
7640,3278,1000
7641,5030,1000
7642,1964,1000
7643,3351,1000
7644,4519,1000
7645,2694,1000
7646,1380,1000
7647,1307,1000
7648,2986,1000
7649,1161,1000
7650,2621,1000
7651,1088,792
7652,358,737
7653,3205,1000
7654,1088,1000
7655,1745,1000
7656,1964,1000
7657,1599,1000
7658,869,1000
7659,4811,1000
7660,66,698
7661,2475,1000
7662,1599,1000
7663,1745,1000
7664,1088,1000
7665,2329,1000
7666,577,564
7667,212,1000
7668,2475,1000
7669,3351,1000
7670,2110,1000
7671,2621,1000
7672,1672,1000
7673,1453,1000
7674,-883,1000
7675,2767,1000
7676,650,676
7677,4373,1000
7678,5906,1000
7679,2329,1000
7680,1818,1000
7681,3278,1000
7682,2110,1000
7683,-664,259
7684,6052,1000
7685,5760,1000
7686,504,887
7687,1526,1000
7688,1234,1000
7689,1234,1000
7690,1453,845
7691,2767,1000
7692,6417,1000
7693,1015,955
7694,-80,705
7695,285,1000
7696,3935,1000
7697,1088,1000
7698,6052,1000
7699,1307,797
7700,2037,1000
7701,4446,1000
7702,1453,1000
7703,431,1000
7704,2256,1000
7705,1453,916
7706,2402,1000
7707,1015,1000
7708,2110,1000
7709,2621,1000
7710,5541,1000
7711,4446,1000
7712,285,1000
7713,650,1000
7714,4446,1000
7715,1307,812
7716,869,1000
7717,2402,1000
7718,5030,1000
7719,-153,562
7720,1672,1000
7721,1453,1000
7722,2475,1000
7723,3497,1000
7724,1818,1000
7725,66,787
7726,212,1000
7727,4373,1000
7728,4592,1000
7729,1526,1000
7730,1599,1000
7731,4519,1000
7732,1526,1000
7733,2402,1000
7734,4446,1000
7735,3935,1000
7736,2840,1000
7737,2256,1000
7738,5322,1000
7739,4957,1000
7740,1964,1000
7741,4592,1000
7742,1015,1000
7743,3278,1000
7744,-153,1000
7745,1526,1000
7746,-80,711
7747,1161,1000
7748,1234,1000
7749,4665,1000
7750,2183,1000
7751,1526,1000
7752,-299,538
7753,4738,1000
7754,2037,1000
7755,2621,1000
7756,-80,1000
7757,2256,1000
7758,1088,759
7759,1599,1000
7760,3497,1000
7761,-80,762
7762,4373,1000
7763,3278,1000
7764,3351,1000
7765,1015,1000
7766,4300,1000
7767,358,1000
7768,3059,1000
7769,1526,1000
7770,5030,1000
7771,4665,1000
7772,1453,1000
7773,3570,1000
7774,2621,848
7775,2913,1000
7776,431,1000
7777,2402,1000
7778,1891,862
7779,2621,1000
7780,3205,1000
7781,3570,1000
7782,4519,1000
7783,1672,1000
7784,1161,1000
7785,5249,1000
7786,5249,1000
7787,1599,1000
7788,2183,1000
7789,1672,804
7790,3278,1000
7791,1891,1000
7792,1526,900
7793,1599,1000
7794,4592,1000
7795,2037,1000
7796,3789,1000
7797,1161,1000
7798,1453,1000
7799,1015,1000
7800,942,1000
7801,2913,1000
7802,942,1000
7803,5176,1000
7804,2110,1000
7805,1891,1000
7806,285,1000
7807,3716,1000
7808,3935,1000
7809,-883,653
7810,431,739
7811,5760,1000
7812,3424,1000
7813,577,1000
7814,431,536
7815,2694,1000
7816,2840,1000
7817,650,596
7818,1964,1000
7819,2183,1000
7820,-445,1000
7821,1672,1000
7822,5322,1000
7823,-372,1000
7824,358,1000
7825,1307,958
7826,1015,1000
7827,1307,1000
7828,5395,1000
7829,942,1000
7830,2329,1000
7831,1672,1000
7832,4300,1000
7833,2548,1000
7834,-80,1000
7835,2329,1000
7836,1015,1000
7837,2475,995
7838,723,999
7839,1161,1000
7840,650,1000
7841,2183,1000
7842,5176,1000
7843,66,899
7844,1672,1000
7845,3132,1000
7846,723,1000
7847,-518,1000
7848,1818,1000
7849,2913,1000
7850,5176,1000
7851,504,1000
7852,796,727
7853,1526,1000
7854,3059,1000
7855,1672,1000
7856,-1029,560
7857,3643,1000
7858,577,1000
7859,4446,1000
7860,2110,1000
7861,-153,544
7862,2183,1000
7863,2183,1000
7864,4446,1000
7865,5687,1000
7866,1453,1000
7867,-153,1000
7868,-518,1000
7869,3132,1000
7870,2183,1000
7871,3497,1000
7872,723,730
7873,4592,1000
7874,4154,1000
7875,2037,1000
7876,1015,1000
7877,5176,1000
7878,6271,1000
7879,1380,996
7880,1964,1000
7881,4592,1000
7882,3497,1000
7883,1891,1000
7884,4081,1000
7885,-445,416
7886,3059,1000
7887,4373,1000
7888,1599,1000
7889,1161,588
7890,2694,1000
7891,3862,1000
7892,1745,1000
7893,1161,1000
7894,4373,1000
7895,1964,1000
7896,3862,1000
7897,4519,1000
7898,2402,1000
7899,-591,600
7900,2767,1000
7901,-226,1000
7902,577,1000
7903,5249,1000
7904,139,1000
7905,431,1000
7906,2767,1000
7907,2475,1000
7908,723,1000
7909,3059,1000
7910,3132,1000
7911,431,946
7912,3643,1000
7913,358,697
7914,2402,1000
7915,3643,1000
7916,-591,729
7917,2986,1000
7918,2183,1000
7919,5979,1000
7920,869,935
7921,4884,1000
7922,3643,1000
7923,4884,1000
7924,2986,1000
7925,5541,1000
7926,1672,854
7927,3570,1000
7928,5249,1000
7929,796,1000
7930,2840,1000
7931,2767,1000
7932,212,930
7933,3205,1000
7934,1307,1000
7935,212,558
7936,3570,1000
7937,3278,1000
7938,2621,785
7939,1088,1000
7940,796,982
7941,942,1000
7942,4884,1000
7943,2913,1000
7944,796,1000
7945,2329,1000
7946,1015,880
7947,2475,1000
7948,2621,1000
7949,2548,1000
7950,2913,1000
7951,3862,1000
